"","GW16.Neurons","GW26.GABAergic.neurons","GW23.GABAergic.neurons","GW16.Stem.cells","GW26.Neurons","GW10.Neurons","GW23.Neurons","GW10.Stem.cells","GW16.GABAergic.neurons","GW19.Neurons","GW26.OPC","GW26.Astrocytes","GW12.Neurons","GW09.Stem.cells","GW26.Microglia","GW09.Neurons","GW23.OPC","GW19.GABAergic.neurons","GW13.Neurons","GW08.Neurons","GW16.OPC","GW12.Stem.cells","GW16.Microglia","GW23.Microglia","week_10.hPeric","week_10.hRgl2a","week_11.hRgl2a","week_10.Unk","week_11.hPeric","week_9.Unk","week_6.hProgFPM","week_8.Unk","week_11.hRgl2b","week_9.hGaba","week_6.hProgBP","week_8.hNbM","week_8.hNProg","week_11.hEndo","week_11.Unk","week_6.hProgM","week_6.hProgFPL","week_6.Unk","week_8.hProgBP","week_8.hNbML1","week_9.hNbML5","week_8.hOMTN","week_6.hNProg","week_6.hOMTN","week_11.hRgl3","week_10.hEndo","week_8.hProgFPM","week_8.hRN","week_9.hOMTN","week_10.hDA2","week_10.hRgl3","week_11.hOPC","week_11.hRgl2c","week_10.hNbM","week_10.hDA1","week_9.hProgBP","week_8.hProgM","week_10.hRgl2b","week_7.hRgl2a","week_7.hOMTN","week_7.Unk","week_10.hRgl1","week_7.hProgBP","week_10.hDA0","week_9.hNbGaba","week_9.hDA0","week_9.hDA1","week_9.hNProg","week_8.hProgFPL","week_9.hRgl2a","week_9.hDA2","week_6.hNbML1","week_9.hNbM","week_9.hNbML1","week_6.hNbM","week_10.hGaba","dn.cls1","dn.cls2"
"SETBP1",385,238,79,99,59,65,42,58,55,43,39,42,27,27,21,24,6,7,7,7,9,8,10,5,20,54,32,22,18,13,9,10,19,15,11,18,20,10,6,4,9,5,13,8,14,14,12,11,12,6,10,6,8,4,9,9,6,11,8,8,8,4,10,5,3,9,3,6,6,8,7,4,8,6,4,3,4,5,1,3,0,0
"TGM1",9,9,3,3,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"EBF3",22,12,4,9,2,10,0,7,2,0,1,3,0,3,1,1,0,0,0,0,0,0,1,0,9,16,3,11,1,15,3,5,2,22,7,33,13,2,2,3,1,2,4,18,5,7,5,6,1,1,2,14,3,6,1,0,0,18,13,4,2,2,2,2,3,2,0,13,9,8,7,5,3,4,3,6,6,8,6,3,0,0
"PPP2R5D",176,119,30,51,36,28,19,32,17,20,17,26,12,11,10,15,7,2,8,8,4,4,1,1,10,22,11,14,6,6,9,6,7,4,6,4,4,3,7,5,9,2,2,2,3,3,3,8,4,2,0,5,7,3,2,5,4,4,6,2,2,3,2,3,0,1,2,3,2,1,1,1,2,1,2,3,2,4,1,3,0,0
"TAF4",143,101,16,26,20,12,7,20,12,7,13,20,3,9,16,4,3,0,0,0,3,1,2,0,9,10,11,5,2,6,4,1,4,4,1,3,1,4,3,4,9,0,4,1,1,4,3,3,3,0,1,1,3,2,1,1,1,2,3,2,1,1,2,0,2,0,0,0,2,0,2,0,2,0,2,0,1,4,1,0,0,0
"KCNQ2",263,154,52,76,29,50,22,50,34,20,46,38,16,19,9,14,13,5,3,3,8,4,5,3,8,35,34,6,5,5,20,6,16,1,15,13,11,1,8,8,17,12,13,4,5,7,11,8,2,2,6,3,3,3,1,11,8,2,4,7,5,5,3,2,5,6,6,0,3,2,1,3,8,3,1,2,1,3,1,0,0,1
"CAPRIN1",502,288,118,114,82,82,67,76,65,73,57,55,47,40,33,29,17,14,12,13,12,11,8,8,42,49,42,21,30,27,29,28,23,17,26,25,26,18,14,23,25,8,14,18,17,17,15,18,16,11,13,16,15,12,9,9,11,14,8,10,10,8,8,9,9,5,9,7,5,5,8,3,11,6,6,5,8,8,4,6,0,0
"DSCAM",166,75,15,30,21,4,22,4,10,18,22,11,1,0,6,0,10,0,2,0,3,0,4,2,7,5,3,13,0,5,0,2,0,10,2,3,3,0,2,0,1,0,1,4,6,4,1,1,1,0,0,3,3,2,0,2,0,1,7,0,0,4,0,0,0,2,1,3,1,3,2,0,2,0,2,3,1,2,1,3,0,0
"GABBR2",188,215,53,31,41,21,22,13,21,17,19,39,10,1,20,5,5,1,1,4,4,0,2,4,13,52,58,17,10,6,2,1,16,14,0,0,1,4,10,0,1,0,0,1,3,1,1,3,4,6,0,0,5,5,2,5,9,4,4,0,1,4,4,4,3,2,0,4,9,5,6,0,0,7,2,0,1,3,0,3,1,1
"PRKG2",175,51,4,30,17,3,6,4,17,20,5,12,0,0,3,0,2,0,1,0,6,0,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBN2",271,217,68,61,35,38,25,46,26,21,26,35,16,14,25,16,10,4,5,3,7,5,6,3,21,33,27,16,14,20,8,5,16,25,3,10,4,11,10,6,6,3,8,7,14,3,4,3,8,4,6,6,9,6,7,9,10,6,4,5,3,4,3,2,3,3,6,4,7,5,6,5,4,6,3,0,7,5,3,2,0,1
"MEF2C",459,394,159,106,106,39,67,41,71,67,69,62,42,4,40,11,16,19,12,3,10,10,9,10,99,7,14,11,60,7,2,0,3,2,3,3,1,27,8,1,3,0,1,1,3,1,1,2,5,23,2,0,2,4,0,4,1,3,3,1,0,1,1,1,0,3,0,2,1,0,2,1,0,2,0,0,0,0,0,1,0,0
"TRIP12",265,171,60,68,41,45,32,53,32,29,26,39,25,14,19,12,7,3,5,6,9,3,5,2,42,32,21,14,29,6,15,7,11,15,11,18,5,16,6,12,11,6,9,7,3,8,6,12,8,10,8,7,10,5,4,8,8,7,5,6,5,6,3,3,1,3,2,6,7,7,6,3,0,3,4,5,5,3,0,3,11,3
"EP300",236,196,57,64,32,39,25,53,28,18,30,39,14,16,23,13,11,4,5,6,5,5,8,7,35,36,39,21,24,21,18,15,16,21,20,15,16,15,9,14,21,7,12,13,11,13,11,13,9,6,10,8,10,4,6,6,4,9,5,4,9,5,6,5,1,6,3,7,6,4,7,6,8,7,4,4,5,8,4,1,10,4
"NR3C2",2,13,9,0,2,1,3,1,0,0,9,13,0,0,2,0,0,2,0,0,0,0,0,0,2,9,3,2,2,1,0,0,4,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,2,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
"ARHGEF18",124,104,25,23,17,14,10,27,16,5,12,19,5,3,9,4,5,3,2,1,1,0,5,1,3,9,7,5,5,1,3,5,5,6,7,0,3,1,2,8,5,1,0,3,2,1,1,5,7,2,0,0,3,1,2,4,0,2,1,0,3,3,1,0,0,2,1,0,1,0,2,1,3,0,1,2,3,0,0,1,0,0
"TNPO3",225,128,48,58,29,47,30,44,29,31,22,25,23,13,14,16,11,6,6,7,4,3,3,1,26,33,17,18,15,12,10,7,10,9,9,7,5,9,5,10,15,11,5,7,11,7,3,10,3,4,7,2,4,3,4,6,6,2,5,2,3,2,2,6,2,4,3,5,3,2,3,6,4,2,1,3,3,2,2,1,0,1
"SMAD6",9,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,6,0,0,0,1,2,0,0,1,0,0,7,0,1,2,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
"AMOT",134,66,11,32,18,13,7,14,12,8,8,24,5,1,11,4,2,1,0,4,6,0,3,5,8,14,18,1,10,0,11,4,7,2,7,12,4,6,2,8,5,2,5,6,2,3,3,5,3,2,5,2,2,0,2,4,1,1,1,3,3,1,1,0,0,1,1,3,1,2,2,0,2,6,0,1,2,2,2,0,0,0
"AUTS2",506,270,88,114,86,83,61,71,70,57,48,51,50,22,31,32,12,8,8,13,9,12,11,6,35,65,42,26,15,31,20,22,19,36,21,30,24,22,10,20,20,7,18,24,25,18,11,20,17,11,8,14,15,10,14,6,7,10,12,6,13,5,15,4,5,7,5,9,12,9,10,9,8,7,5,6,12,9,6,4,0,0
"NCKAP1",377,230,65,93,56,58,31,51,41,39,48,46,28,19,22,22,14,3,4,2,10,9,5,4,70,58,45,28,42,21,24,12,19,21,17,15,11,19,11,24,16,4,13,16,9,14,7,15,16,14,6,9,8,12,12,7,10,9,10,8,10,7,8,9,3,9,3,7,6,4,9,5,6,8,5,4,4,2,6,2,0,0
"DLG4",85,92,26,17,18,29,7,35,12,7,16,14,10,4,6,2,4,2,1,7,1,0,5,1,45,44,32,36,16,20,15,6,22,21,13,16,9,11,14,15,9,8,6,9,8,13,9,22,12,4,6,6,14,9,8,7,2,9,5,7,3,7,5,8,4,6,5,11,6,4,8,6,4,3,3,8,6,4,5,5,1,1
"ECPAS",199,160,33,61,37,22,24,26,20,23,33,31,11,8,19,5,6,2,7,7,5,1,4,2,20,15,17,12,8,8,7,3,8,10,7,4,1,8,4,8,5,2,6,4,5,7,3,9,7,3,3,2,8,3,6,2,4,5,8,2,1,3,2,5,0,3,2,5,4,4,1,1,2,1,5,3,2,0,1,1,0,0
"PRKAR1B",279,248,85,68,60,44,46,47,39,39,46,46,18,11,23,18,11,3,4,10,10,4,8,5,2,6,12,7,2,7,2,3,6,9,1,4,0,3,4,0,2,0,2,1,1,5,0,3,2,0,2,0,4,3,3,3,1,5,5,1,0,2,1,2,0,1,1,5,3,2,4,0,0,0,1,0,0,2,0,1,0,0
"FUBP3",224,135,37,62,36,24,11,44,27,17,26,37,13,8,15,10,10,2,5,6,8,1,4,4,21,18,32,9,12,7,13,7,5,4,11,6,8,9,5,8,5,1,5,3,2,9,3,4,10,6,7,1,3,1,2,6,2,6,4,3,2,3,5,1,0,3,5,2,4,1,5,1,6,0,3,1,3,1,1,2,0,0
"GRIA2",523,321,120,115,106,80,79,63,69,71,68,59,55,20,29,31,22,17,16,13,14,8,10,4,32,29,15,53,12,29,4,8,7,37,2,20,5,2,17,2,2,2,2,20,19,11,7,7,5,3,4,14,16,14,7,15,4,12,11,5,1,7,3,9,5,1,1,8,12,9,9,4,5,5,6,5,8,8,4,7,3,0
"CCDC40",25,26,11,8,3,12,4,15,4,2,4,3,2,5,4,5,1,1,5,1,0,0,0,1,4,30,25,8,3,5,5,2,8,4,2,6,4,2,1,6,3,0,1,6,4,2,1,2,10,1,2,1,2,1,6,1,1,3,2,0,2,2,1,2,0,4,1,1,2,1,0,3,2,2,1,0,1,0,0,1,0,0
"GABRA1",8,64,19,1,4,0,4,0,0,1,8,6,0,2,4,1,1,1,0,1,0,0,0,0,4,4,1,12,1,9,0,1,0,17,0,0,1,0,5,2,2,1,0,0,5,1,2,0,1,0,0,0,3,3,2,0,0,0,1,0,2,1,0,2,1,0,0,1,4,0,2,2,0,1,0,0,0,2,0,2,0,0
"TSC2",332,235,64,85,61,45,31,49,37,31,38,47,10,24,29,14,12,7,5,7,7,3,7,4,17,22,16,8,14,5,4,6,12,13,9,8,6,5,9,3,10,3,3,8,5,4,3,4,2,4,2,3,4,3,3,7,4,5,2,1,5,2,2,6,1,2,1,3,2,1,2,4,1,3,1,2,1,1,1,2,2,2
"C1orf185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"METTL23",224,114,29,73,25,32,10,35,33,15,31,22,18,24,16,14,9,4,7,4,7,6,7,4,10,3,6,1,3,3,4,2,2,2,3,3,2,5,0,4,4,1,3,3,0,4,1,3,6,3,4,1,0,1,3,1,0,0,0,3,4,1,1,0,1,2,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0
"HNRNPUL2",257,183,36,56,38,36,12,45,30,16,32,33,10,6,16,10,4,6,0,2,9,1,6,2,48,35,32,13,20,10,25,11,18,7,18,10,13,15,9,16,21,12,11,6,6,8,7,16,10,9,6,4,5,7,7,12,9,8,6,6,7,2,9,3,4,2,4,6,5,2,5,4,6,3,4,4,3,5,2,3,0,0
"PAX5",4,3,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,10,11,7,11,3,12,10,0,4,22,8,1,3,1,2,1,5,1,5,4,17,5,3,7,0,3,3,1,3,0,3,3,1,3,2,8,1,2,0,2,1,1,1,1,6,2,3,8,1,3,3,2,7,4,1,3,0,1
"ATF4",518,304,125,118,87,83,65,77,67,67,63,60,52,44,34,32,20,14,12,12,13,12,10,6,96,77,59,43,55,28,39,28,27,20,33,29,27,38,18,27,28,19,21,18,14,25,18,22,22,20,19,17,12,15,16,13,18,17,14,13,13,12,11,8,7,10,7,11,8,7,8,7,13,7,4,12,3,8,9,6,0,0
"RERE",451,319,136,110,84,76,64,68,69,59,56,53,50,41,30,32,17,17,8,7,13,9,10,8,67,62,50,42,31,21,33,33,24,26,34,30,21,24,23,29,26,18,20,19,11,26,14,22,17,12,14,15,11,15,11,16,10,12,13,5,11,5,7,6,6,7,4,10,9,5,7,6,13,3,2,11,7,7,7,6,0,0
"DHFR2",91,47,14,25,13,7,14,19,7,7,12,9,3,7,7,4,4,0,1,0,2,3,2,0,10,13,8,5,7,0,3,0,1,2,3,2,4,3,3,4,5,3,4,3,3,2,1,3,5,0,1,1,3,0,2,0,1,0,1,1,0,1,2,0,0,3,0,0,0,1,1,1,2,0,2,0,0,0,0,0,0,0
"TMC4",9,7,5,3,0,0,0,0,0,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,10,2,1,0,5,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FXYD5",12,42,14,7,8,13,3,10,3,5,8,9,2,4,19,4,2,0,9,6,0,0,2,2,1,2,0,0,0,1,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EBAG9",205,107,23,52,25,19,24,27,17,20,14,30,5,11,11,10,8,3,6,2,7,3,5,1,9,9,6,6,7,3,4,6,7,9,6,5,6,6,6,6,5,2,1,4,4,2,6,6,5,0,4,3,1,2,0,3,1,1,1,4,1,3,4,0,4,3,2,1,1,0,2,2,1,3,0,1,1,2,0,2,0,0
"ITGB5",50,77,11,15,9,2,6,1,7,3,20,30,2,1,16,1,2,1,3,0,1,0,6,5,31,39,44,1,25,2,1,2,14,0,5,2,1,8,5,5,3,2,4,1,0,2,2,0,14,4,3,0,0,0,10,5,7,0,0,3,2,2,3,0,0,2,1,0,1,1,0,0,1,4,1,0,1,0,0,0,0,0
"INTS2",113,61,28,35,19,6,15,23,16,9,13,19,2,8,8,6,4,3,0,4,7,1,3,0,10,9,6,2,6,4,5,5,1,5,2,4,2,2,0,3,5,0,4,1,5,2,0,2,1,0,1,3,2,3,0,2,2,4,2,2,0,1,2,1,1,1,1,1,1,0,3,0,2,1,2,0,1,3,1,1,0,1
"RAI1",109,72,25,23,12,17,11,22,13,5,11,12,6,10,4,4,3,3,2,2,1,0,2,2,9,15,8,16,7,14,7,5,6,17,5,8,9,7,1,6,3,7,6,7,6,9,3,7,4,0,5,6,6,2,3,5,5,5,2,3,3,4,2,4,3,3,2,2,5,3,6,2,3,2,3,3,3,4,0,5,1,1
"FOXG1",532,327,118,123,100,88,74,80,77,72,59,58,54,47,33,31,16,13,11,13,14,11,11,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PLEKHG6",1,0,0,0,0,0,1,2,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAVS",258,181,54,65,39,43,35,50,27,23,35,42,16,18,21,14,10,4,3,7,4,3,7,6,29,43,28,11,17,12,8,7,15,10,6,6,7,14,8,10,9,3,5,1,2,2,2,6,13,5,1,2,6,5,8,7,7,4,3,3,2,3,0,2,0,3,2,3,2,1,4,4,4,4,0,2,5,2,2,2,0,0
"C1QC",56,98,41,20,19,2,8,10,3,2,12,21,2,2,39,0,6,2,3,8,2,1,11,10,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMEM116",64,42,15,17,6,7,6,12,5,4,6,11,5,8,3,1,3,2,3,1,0,3,2,0,9,9,11,4,3,1,10,3,4,1,2,3,0,4,2,4,5,4,4,1,0,0,3,6,1,2,1,0,2,1,3,2,1,1,0,2,1,4,0,0,1,0,1,2,3,0,0,0,1,0,0,0,1,1,0,0,0,0
"SIN3A",242,113,37,73,23,30,28,41,27,17,17,27,20,16,13,7,7,2,6,3,5,6,6,4,12,17,18,10,17,10,9,6,3,15,8,9,2,9,1,10,14,5,6,6,9,7,4,8,5,6,5,3,4,2,7,3,4,1,2,2,4,3,2,4,3,0,2,3,4,1,3,1,7,1,0,3,1,0,0,2,1,0
"ANP32A",458,243,108,106,70,90,68,77,60,60,53,42,45,40,30,32,15,14,14,13,8,11,9,6,42,50,37,18,36,19,28,21,21,16,29,15,15,9,10,24,27,13,17,10,6,14,12,13,10,8,10,6,9,6,4,9,13,9,8,12,5,6,6,7,4,6,7,1,6,4,6,6,9,5,1,6,1,6,4,2,1,0
"PRR14L",234,122,41,60,31,25,20,32,29,18,13,20,10,9,13,7,3,2,2,3,5,4,10,4,13,20,13,11,5,9,5,6,5,8,8,8,5,8,6,9,13,2,5,9,5,10,3,7,3,1,4,2,4,6,1,2,2,3,5,1,4,7,2,3,1,2,2,0,1,5,4,3,3,2,1,1,3,2,0,1,0,0
"CSNK2B",528,321,128,120,98,85,70,78,73,74,63,61,56,48,38,35,23,17,13,14,14,11,11,8,7,5,3,0,2,0,1,0,1,0,2,1,1,2,0,2,1,0,3,2,2,0,1,0,0,0,1,1,0,2,3,1,0,1,2,0,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"PMM2",116,58,24,34,12,9,12,20,12,16,15,19,8,3,9,5,2,3,4,4,3,2,1,3,2,6,5,3,4,2,1,2,4,1,4,2,3,2,0,2,0,0,1,1,1,1,2,2,1,2,0,1,1,1,3,2,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,2,1,1,0,0,0,0,0,0
"PFN2",524,378,157,121,98,82,81,79,79,67,62,60,58,43,33,34,22,17,12,13,13,12,10,8,36,84,68,46,30,17,52,43,30,28,34,36,32,18,21,32,32,25,23,25,7,28,15,24,21,10,21,19,8,14,12,13,14,12,15,8,17,13,9,7,4,9,5,10,8,5,7,4,13,7,11,10,4,6,7,5,0,0
"LMTK3",86,127,28,12,22,13,6,8,12,5,19,23,5,0,12,4,4,0,1,0,2,1,0,1,3,4,0,9,2,2,1,0,0,0,1,0,0,2,2,1,0,0,0,0,2,3,0,1,1,0,0,2,0,1,0,0,1,2,4,0,0,2,0,2,2,1,0,3,0,0,1,0,0,1,0,1,0,2,0,2,0,1
"SPRY2",138,161,39,49,27,10,9,10,23,6,38,50,3,1,22,2,14,2,0,1,9,1,5,4,22,55,40,9,21,5,3,2,23,3,6,2,1,10,4,4,7,2,6,3,3,1,2,6,4,13,3,2,5,3,3,6,11,5,1,5,1,5,9,0,1,1,3,1,1,0,3,4,3,5,0,0,2,2,2,3,0,1
"CMPK2",55,33,6,18,10,0,8,4,6,6,5,5,0,0,3,0,2,1,2,0,0,0,2,0,5,0,1,2,0,0,2,0,0,2,0,0,0,0,0,0,1,0,1,0,2,0,0,0,2,1,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0
"IQSEC2",36,67,10,17,10,3,4,4,4,4,8,8,1,0,4,1,1,1,0,0,1,1,2,2,7,10,8,7,3,8,1,0,2,2,1,1,1,3,1,1,1,0,0,0,1,1,0,0,1,0,0,0,2,3,2,0,0,1,2,0,0,2,0,2,0,2,0,3,1,0,1,1,1,0,1,0,0,0,0,1,0,0
"RIPK1",59,39,9,13,5,3,1,5,1,4,8,9,2,3,5,4,2,0,0,0,0,3,4,2,27,4,6,4,15,4,2,0,2,1,0,1,0,4,1,1,3,0,0,1,3,2,1,2,1,7,0,0,2,2,1,1,1,0,1,0,1,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"TPK1",6,18,0,0,1,4,1,4,0,1,8,3,2,0,4,0,2,0,2,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CASZ1",2,12,3,4,0,2,0,4,0,2,0,3,1,1,1,0,0,0,0,0,0,0,0,0,2,1,2,10,3,6,1,1,2,8,1,0,3,0,2,1,0,0,2,0,4,6,2,9,3,0,1,0,8,1,1,2,1,1,1,1,2,0,0,5,0,1,0,2,3,1,0,1,0,0,0,0,1,1,1,1,0,1
"ZBTB45",189,100,35,40,24,20,28,26,23,9,16,15,9,6,15,5,5,2,5,3,3,5,6,3,4,5,4,3,2,1,3,5,2,3,1,1,1,1,2,0,1,0,0,1,1,2,1,0,1,0,0,1,1,2,3,2,0,1,2,2,1,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0
"NUDT17",12,5,2,2,2,2,1,0,2,3,2,2,0,1,3,0,1,0,1,0,1,0,0,0,3,0,1,1,2,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"FANCE",98,34,16,21,9,6,2,15,6,4,2,6,6,9,2,1,2,0,3,2,3,3,1,0,18,6,2,6,7,3,0,2,1,5,5,3,3,4,0,4,2,2,5,1,1,3,1,1,4,1,1,1,0,1,1,1,2,2,3,3,1,3,2,0,0,0,2,1,2,0,2,0,2,1,0,1,0,1,0,0,0,0
"ZNF396",4,10,0,3,1,0,0,0,1,0,2,3,0,0,2,0,0,0,0,0,1,0,0,0,1,7,2,0,2,1,1,1,1,1,1,0,0,0,1,2,2,1,0,1,1,0,0,3,3,1,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0
"NR4A2",241,96,26,52,16,10,6,11,28,8,13,12,30,7,23,10,6,2,0,2,5,4,10,3,64,17,9,3,33,12,1,9,4,18,3,23,12,20,5,4,1,2,3,13,5,8,3,3,3,10,4,9,3,18,3,0,2,7,17,1,4,3,3,2,4,5,2,14,6,15,13,5,3,3,9,5,7,5,6,3,1,0
"TBCEL",34,29,7,6,2,1,1,10,1,3,3,5,1,3,4,1,3,0,0,0,1,0,0,0,8,4,4,2,2,1,2,1,1,2,2,1,1,1,4,1,0,0,0,1,0,2,0,3,3,1,1,1,1,0,1,0,0,2,2,1,2,0,2,0,0,1,4,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"ADAM21",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCF3",275,127,43,79,26,59,14,65,23,16,23,24,18,34,17,20,9,4,2,6,6,7,3,3,25,42,43,9,19,11,24,21,18,4,24,14,24,16,8,22,24,14,18,10,10,17,10,13,8,7,6,5,1,1,8,6,12,10,3,11,9,5,8,2,3,7,4,1,2,4,3,3,10,8,0,1,3,7,5,1,0,0
"AAAS",371,168,70,92,49,61,45,62,51,37,39,44,35,34,20,18,15,10,11,12,11,8,8,3,12,22,22,5,11,4,11,9,11,5,13,10,5,4,4,12,13,4,6,3,2,6,5,4,6,3,8,1,4,4,3,4,4,5,3,4,5,5,1,3,0,1,0,0,2,1,1,4,0,1,0,3,0,2,1,1,0,0
"CELF6",107,104,19,25,15,19,8,17,13,12,9,13,15,2,13,4,3,1,1,3,4,3,2,2,7,14,6,16,6,5,1,5,2,13,1,5,2,3,10,2,2,0,1,6,3,5,0,5,2,3,0,1,3,4,2,2,2,2,6,0,0,3,0,6,2,4,0,3,4,2,1,1,2,0,2,2,3,5,1,2,0,0
"INSC",19,14,2,2,1,8,0,1,3,2,1,1,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZMYND8",332,212,88,83,58,56,44,53,34,40,46,44,36,23,26,23,13,4,5,9,12,8,7,6,28,42,26,28,14,21,17,16,15,26,19,14,15,11,12,14,17,2,11,14,11,17,10,10,10,4,9,10,13,13,7,12,6,9,7,5,10,8,6,7,4,7,6,4,10,8,7,3,3,3,3,2,5,5,5,7,1,0
"CLTC",462,310,98,110,81,76,59,57,58,53,58,57,40,33,33,30,19,13,14,9,12,9,10,9,70,63,45,25,33,27,19,10,22,27,20,21,11,30,13,22,15,6,12,14,14,19,7,21,18,19,11,12,12,12,9,9,8,10,14,9,7,7,9,7,4,6,6,9,12,7,8,5,8,9,6,8,4,6,7,4,0,2
"TCHHL1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CTDSPL2",257,159,60,66,39,34,30,49,36,33,31,28,16,25,11,15,11,6,11,7,6,6,6,2,15,22,15,9,10,6,18,9,8,5,12,7,8,8,2,8,12,3,5,6,3,3,2,9,5,4,6,2,6,4,2,5,7,2,2,5,2,4,4,0,2,2,4,3,2,1,3,4,5,2,1,6,1,4,2,1,0,1
"ZNF292",439,304,112,105,90,72,60,72,63,59,44,52,34,36,30,24,18,11,8,5,11,8,11,7,54,75,50,53,26,48,33,25,22,38,31,26,21,21,19,27,21,7,21,23,21,23,17,17,18,10,14,10,19,15,14,15,10,14,12,10,12,12,12,15,7,12,8,12,13,10,12,11,9,8,8,8,11,8,3,4,3,0
"KCNQ3",372,203,51,91,58,54,28,48,47,32,34,34,26,30,22,22,6,3,15,6,5,4,5,7,2,7,3,11,2,4,0,3,2,7,2,5,4,0,1,1,3,5,4,4,3,4,2,1,1,1,1,5,5,3,2,1,0,2,6,2,0,2,1,1,1,0,2,3,3,1,4,1,3,1,2,1,2,4,0,2,0,0
